E, [2018-02-13T09:42:00.632845 #4391] ERROR -- Kitchen: ----------------------
E, [2018-02-13T09:42:00.632856 #4391] ERROR -- Kitchen: ------Backtrace-------
E, [2018-02-13T09:42:00.632867 #4391] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/kitchen-vagrant-1.2.1/lib/kitchen/driver/vagrant.rb:526:in `rescue in vagrant_version'
E, [2018-02-13T09:42:00.632879 #4391] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/kitchen-vagrant-1.2.1/lib/kitchen/driver/vagrant.rb:522:in `vagrant_version'
E, [2018-02-13T09:42:00.632892 #4391] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/kitchen-vagrant-1.2.1/lib/kitchen/driver/vagrant.rb:184:in `verify_dependencies'
E, [2018-02-13T09:42:00.632904 #4391] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.19.2/lib/kitchen/driver.rb:43:in `for_plugin'
E, [2018-02-13T09:42:00.632916 #4391] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.19.2/lib/kitchen/config.rb:234:in `new_driver'
E, [2018-02-13T09:42:00.632928 #4391] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.19.2/lib/kitchen/config.rb:247:in `new_instance'
E, [2018-02-13T09:42:00.632940 #4391] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.19.2/lib/kitchen/config.rb:142:in `block in build_instances'
E, [2018-02-13T09:42:00.632952 #4391] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.19.2/lib/kitchen/config.rb:141:in `map'
E, [2018-02-13T09:42:00.632964 #4391] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.19.2/lib/kitchen/config.rb:141:in `with_index'
E, [2018-02-13T09:42:00.632976 #4391] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.19.2/lib/kitchen/config.rb:141:in `build_instances'
E, [2018-02-13T09:42:00.632988 #4391] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.19.2/lib/kitchen/config.rb:117:in `instances'
E, [2018-02-13T09:42:00.633000 #4391] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.19.2/lib/kitchen/command.rb:112:in `filtered_instances'
E, [2018-02-13T09:42:00.633012 #4391] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.19.2/lib/kitchen/command.rb:142:in `parse_subcommand'
E, [2018-02-13T09:42:00.633024 #4391] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.19.2/lib/kitchen/command/action.rb:35:in `block in call'
E, [2018-02-13T09:42:00.633036 #4391] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/2.4.0/benchmark.rb:293:in `measure'
E, [2018-02-13T09:42:00.633048 #4391] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.19.2/lib/kitchen/command/action.rb:34:in `call'
E, [2018-02-13T09:42:00.633062 #4391] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.19.2/lib/kitchen/cli.rb:52:in `perform'
E, [2018-02-13T09:42:00.633079 #4391] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.19.2/lib/kitchen/cli.rb:193:in `block (2 levels) in <class:CLI>'
E, [2018-02-13T09:42:00.633092 #4391] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/thor-0.19.1/lib/thor/command.rb:27:in `run'
E, [2018-02-13T09:42:00.633103 #4391] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/thor-0.19.1/lib/thor/invocation.rb:126:in `invoke_command'
E, [2018-02-13T09:42:00.633115 #4391] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/thor-0.19.1/lib/thor.rb:359:in `dispatch'
E, [2018-02-13T09:42:00.633127 #4391] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/thor-0.19.1/lib/thor/base.rb:440:in `start'
E, [2018-02-13T09:42:00.633139 #4391] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.19.2/bin/kitchen:13:in `block in <top (required)>'
E, [2018-02-13T09:42:00.633150 #4391] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.19.2/lib/kitchen/errors.rb:171:in `with_friendly_errors'
E, [2018-02-13T09:42:00.633162 #4391] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.19.2/bin/kitchen:13:in `<top (required)>'
E, [2018-02-13T09:42:00.633173 #4391] ERROR -- Kitchen: /usr/bin/kitchen:255:in `load'
E, [2018-02-13T09:42:00.633185 #4391] ERROR -- Kitchen: /usr/bin/kitchen:255:in `<main>'
E, [2018-02-13T09:42:00.633196 #4391] ERROR -- Kitchen: ----End Backtrace-----
